,src_name,popularity,relevance_query,score_rank,score_mean
4857,opto.ca,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
4847,opteam,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
4890,orphee-rv.hds.utc,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
162,adentis,0.044444444444444446,0.125,0.7922628510863805,0.3757940293234411
6399,univ-lyon2,0.044444444444444446,0.125,0.7917127479171275,0.37557398805573994
1280,cerema,0.044444444444444446,0.125,0.7916238437821173,0.3755384264017358
4787,officeopro,0.044444444444444446,0.125,0.7916010498687664,0.37552930883639546
160,ademe,0.17777777777777778,0.15625,0.6935726478616363,0.3754846147002101
4098,loir-et-cher.gouv,0.044444444444444446,0.125,0.7912149954832881,0.3753748870822041
2015,docage,0.06666666666666667,0.0,0.9043522244041325,0.37507422309498634
2948,grandest,0.044444444444444446,0.375,0.5404448047370647,0.3750668107837148
1281,cerfrance,0.044444444444444446,0.125,0.7903820123326816,0.3750416938219615
5433,report-one,0.08888888888888889,0.125,0.7680772180121661,0.37500866498264424
2235,efalia,0.044444444444444446,0.0,0.9145959595959596,0.37472727272727274
3834,lapresse.ca,0.044444444444444446,0.125,0.7894947001597212,0.3746867689527774
4722,novethic,0.044444444444444446,0.25,0.6643751665334399,0.3746389555022649
3176,humanite,0.044444444444444446,0.375,0.5385369611653885,0.37430367335504433
2470,etudiant.aujourdhui,0.13333333333333333,0.16666666666666669,0.7022499194890641,0.37423330112895903
3039,hal.uca,0.022222222222222223,0.25,0.674074074074074,0.37407407407407406
2845,generac,0.022222222222222223,0.25,0.674074074074074,0.37407407407407406
3453,internetbusiness,0.022222222222222223,0.25,0.674074074074074,0.37407407407407406
125,acp.copernicus,0.022222222222222223,0.25,0.674074074074074,0.37407407407407406
2723,formulaires.service-public,0.022222222222222223,0.25,0.674074074074074,0.37407407407407406
